Searched Name,Company Number,Registered Name,Confidence,Status,Confidence Level,Companies House URL,,,,,,,,,,Searched Name,Confidence,Company Number,Companies House Name,URL,Companies House
Apath Limited,10370154,APATH LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/10370154,,,,,,,,,,Camelot Chilled Foods Ltd,100%,03319836,CAMELOT CHILLED FOODS LTD,https://find-and-update.company-information.service.gov.uk/company/03319836,Camelot Chilled Foods Ltd
Apath Limited,16096650,APATHEIA COACHING LIMITED,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/16096650,,,,,,,,,,Catch The Occasion Photography,35%,12034968,PHOTOGRAPHY FOR ALL OCCASIONS LTD,https://find-and-update.company-information.service.gov.uk/company/12034968,Catch The Occasion Photography
Apath Limited,14718989,APATHETIC LIMITED,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/14718989,,,,,,,,,,Compass Supply Solutions Ltd,98%,03176107,COMPASS SUPPLY SOLUTIONS LIMITED,https://find-and-update.company-information.service.gov.uk/company/03176107,Compass Supply Solutions Ltd
Aquaid Franchising Ltd Birmingham,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Crayford Sybourn Ltd,98%,05034830,CRAYFORD SYBOURN LIMITED,https://find-and-update.company-information.service.gov.uk/company/05034830,Crayford Sybourn Ltd
Aquaid Franchising Ltd Birmingham,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,David Cover And Son Ltd,98%,00396804,DAVID COVER AND SON LIMITED,https://find-and-update.company-information.service.gov.uk/company/00396804,David Cover And Son Ltd
Aquaid Franchising Ltd Birmingham,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Deeside Laundry,85%,00121163,DEESIDE LAUNDRY COMPANY(WEST KIRBY)LIMITED(THE),https://find-and-update.company-information.service.gov.uk/company/00121163,Deeside Laundry
Aquaid Franchising Ltd Brampton,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,DELIFRESH LIMITED,98%,04437211,DELIFRESH LIMITED,https://find-and-update.company-information.service.gov.uk/company/04437211,DELIFRESH LIMITED
Aquaid Franchising Ltd Glasgow,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Dorchester Finest Foods Ltd,98%,09105479,DORCHESTER FINEST FOODS LIMITED,https://find-and-update.company-information.service.gov.uk/company/09105479,Dorchester Finest Foods Ltd
Aquaid Franchising Ltd Glasgow,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Dunsire Associates (Electrical) Ltd,100%,SC054659,DUNSIRE ASSOCIATES (ELECTRICAL) LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC054659,Dunsire Associates (Electrical) Ltd
Aquaid Franchising Ltd Glasgow,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Elite Turnkey Solutions Ltd,95%,08186746,ELITE TURNKEY SOLUTIONS LIMITED,https://find-and-update.company-information.service.gov.uk/company/08186746,Elite Turnkey Solutions Ltd
Aquaid Franchising Ltd Glasgow,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Employment Partners Limited,98%,09496680,EMPLOYMENT PARTNERS LIMITED,https://find-and-update.company-information.service.gov.uk/company/09496680,Employment Partners Limited
Aquaid Franchising Ltd Liverpool,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Euro Wines C&C Ltd,95%,06149110,EURO WINES (C & C) LIMITED,https://find-and-update.company-information.service.gov.uk/company/06149110,Euro Wines C&C Ltd
Aquaid Franchising Ltd Liverpool,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Eurocom Technical Services Ltd,98%,03882954,EUROCOM TECHNICAL SERVICES LIMITED,https://find-and-update.company-information.service.gov.uk/company/03882954,Eurocom Technical Services Ltd
Aquaid Franchising Ltd Liverpool,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Europa Truck Parts Limited,100%,03878791,EUROPA TRUCK PARTS LIMITED,https://find-and-update.company-information.service.gov.uk/company/03878791,Europa Truck Parts Limited
Aquaid Franchising Ltd Liverpool,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Everest Cash & Carry Ltd,98%,07300566,EVEREST CASH & CARRY LIMITED,https://find-and-update.company-information.service.gov.uk/company/07300566,Everest Cash & Carry Ltd
Aquaid Franchising Ltd Liverpool,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Excell Electrical Contractors Ltd,96%,02721897,EXCELL ELECTRICAL CONTRACTORS LIMITED,https://find-and-update.company-information.service.gov.uk/company/02721897,Excell Electrical Contractors Ltd
Aquaid Franchising Ltd South Coast,03505477,AQUAID FRANCHISING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03505477,,,,,,,,,,Expert Installations Ltd,100%,07199197,EXPERT INSTALLATIONS LTD,https://find-and-update.company-information.service.gov.uk/company/07199197,Expert Installations Ltd
Avonvale Distributions Ltd,12999613,AVONVALE DISTRIBUTIONS LTD,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/12999613,,,,,,,,,,Expressmode Ltd,94%,03606503,EXPRESSMODE LIMITED,https://find-and-update.company-information.service.gov.uk/company/03606503,Expressmode Ltd
Bemor Building Contractors Ltd,01219425,BEMOR BUILDING CONTRACTORS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/01219425,,,,,,,,,,FACT Community Transport,98%,CE000317,FACT Community Transport,https://find-and-update.company-information.service.gov.uk/company/CE000317,FACT Community Transport
Camelot Chilled Foods Ltd,03319836,CAMELOT CHILLED FOODS LTD,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/03319836,,,,,,,,,,Flight Links (Lincoln) Ltd,99%,08606571,FLIGHT LINKS (LINCOLN) LTD,https://find-and-update.company-information.service.gov.uk/company/08606571,Flight Links (Lincoln) Ltd
Camelot Chilled Foods Ltd,,,,,No match,,,,,,,,,,,Friar's Pride Ltd,98%,01213037,FRIAR'S PRIDE LIMITED,https://find-and-update.company-information.service.gov.uk/company/01213037,Friar's Pride Ltd
Catch The Occasion Photography,12034968,PHOTOGRAPHY FOR ALL OCCASIONS LTD,35%,active,Low,https://find-and-update.company-information.service.gov.uk/company/12034968,,,,,,,,,,Galaxy Insulation and Dry Lining Limited,98%,06972541,GALAXY INSULATION AND DRY LINING LIMITED,https://find-and-update.company-information.service.gov.uk/company/06972541,Galaxy Insulation and Dry Lining Limited
Catch The Occasion Photography,10451640,CATCH THE MEMORIES PHOTOGRAPHY LTD.,30%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/10451640,,,,,,,,,,Gasrec Ltd,98%,04841866,GASREC LTD,https://find-and-update.company-information.service.gov.uk/company/04841866,Gasrec Ltd
Catch The Occasion Photography,12262292,MEMORY CATCHER PHOTOGRAPHY LTD,25%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/12262292,,,,,,,,,,Gladwin Electrical Services Ltd,98%,08895766,GLADWIN ELECTRICAL SERVICES LIMITED,https://find-and-update.company-information.service.gov.uk/company/08895766,Gladwin Electrical Services Ltd
Compass Supply Solutions Ltd,03176107,COMPASS SUPPLY SOLUTIONS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03176107,,,,,,,,,,Glanynant Trading Ltd,99%,11943080,GLANYNANT TRADING LTD,https://find-and-update.company-information.service.gov.uk/company/11943080,Glanynant Trading Ltd
Compass Supply Solutions Ltd,15458824,COMPASS INDUSTRIAL SUPPLY CHAIN LTD.,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/15458824,,,,,,,,,,Glen Valley Tours Limited.,98%,05694445,GLEN VALLEY TOURS LTD.,https://find-and-update.company-information.service.gov.uk/company/05694445,Glen Valley Tours Limited.
Compass Supply Solutions Ltd,16007574,COMPASS OILFIELD SUPPLY CO LTD,28%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/16007574,,,,,,,,,,Grade 2 Structural Repairs Ltd,100%,03174595,GRADE 2 STRUCTURAL REPAIRS LIMITED,https://find-and-update.company-information.service.gov.uk/company/03174595,Grade 2 Structural Repairs Ltd
Compass Supply Solutions Ltd,,,,,No match,,,,,,,,,,,Green Candle Traction limited,99%,12195876,GREEN CANDLE TRACTION LIMITED,https://find-and-update.company-information.service.gov.uk/company/12195876,Green Candle Traction limited
Crayford Sybourn Ltd,05034830,CRAYFORD SYBOURN LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/05034830,,,,,,,,,,Green Community Travel limited,90%,IP26771R,GREEN COMMUNITY TRAVEL,https://find-and-update.company-information.service.gov.uk/company/IP26771R,Green Community Travel limited
Crayford Sybourn Ltd,,,,,No match,,,,,,,,,,,GRS Integrated Solutions Ltd,96%,04022852,GRS INTEGRATED SOLUTIONS LIMITED,https://find-and-update.company-information.service.gov.uk/company/04022852,GRS Integrated Solutions Ltd
David Cover And Son Ltd,00396804,DAVID COVER AND SON LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/00396804,,,,,,,,,,Hills Prospect PLC,98%,04257011,HILLS PROSPECT PLC,https://find-and-update.company-information.service.gov.uk/company/04257011,Hills Prospect PLC
David Cover And Son Ltd,08958161,DAVID AND SONS GLOBAL LIMITED,35%,active,Low,https://find-and-update.company-information.service.gov.uk/company/08958161,,,,,,,,,,Indus Foods Ltd,98%,02430421,INDUS FOODS LIMITED,https://find-and-update.company-information.service.gov.uk/company/02430421,Indus Foods Ltd
Deeside Laundry,00121163,DEESIDE LAUNDRY COMPANY(WEST KIRBY)LIMITED(THE),85%,active,High,https://find-and-update.company-information.service.gov.uk/company/00121163,,,,,,,,,,J.W. Filshill Ltd,98%,SC019246,J.W. FILSHILL LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC019246,J.W. Filshill Ltd
Deeside Laundry,03488295,DEESIDE LAUNDRY STAFF SERVICES LIMITED,65%,dissolved,Medium,https://find-and-update.company-information.service.gov.uk/company/03488295,,,,,,,,,,JDW Building & Conservation Ltd,98%,07200665,JDW BUILDING & CONSERVATION LIMITED,https://find-and-update.company-information.service.gov.uk/company/07200665,JDW Building & Conservation Ltd
DELIFRESH LIMITED,04437211,DELIFRESH LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/04437211,,,,,,,,,,L V Shipping Limited,98%,01741744,L V SHIPPING LIMITED,https://find-and-update.company-information.service.gov.uk/company/01741744,L V Shipping Limited
DELIFRESH LIMITED,10127182,DELIFRESH (MANCHESTER) LIMITED,65%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/10127182,,,,,,,,,,Lifeline Alarm Systems Ltd,98%,02491672,LIFELINE ALARM SYSTEMS LIMITED,https://find-and-update.company-information.service.gov.uk/company/02491672,Lifeline Alarm Systems Ltd
DELIFRESH LIMITED,13263519,DELIFRESH FFOODS (NW) LTD,40%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/13263519,,,,,,,,,,Lower Lane Ltd,98%,13257231,LOWER LANE LTD,https://find-and-update.company-information.service.gov.uk/company/13257231,Lower Lane Ltd
DELIFRESH LIMITED,10771467,DELIFRESH FOODS LIMITED,35%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/10771467,,,,,,,,,,LWC Drinks Ltd,98%,07677007,LWC DRINKS LIMITED,https://find-and-update.company-information.service.gov.uk/company/07677007,LWC Drinks Ltd
DELIFRESH LIMITED,08022322,DELIFRESH (TRAFFORD) LTD,30%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/08022322,,,,,,,,,,LWOL Ltd,95%,08703762,LWOL LIMITED,https://find-and-update.company-information.service.gov.uk/company/08703762,LWOL Ltd
Dorchester Finest Foods Ltd,09105479,DORCHESTER FINEST FOODS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/09105479,,,,,,,,,,Mabanaft,98%,02960732,MABANAFT LIMITED,https://find-and-update.company-information.service.gov.uk/company/02960732,Mabanaft
Dorchester Finest Foods Ltd,,,,,No match,,,,,,,,,,,Martin Pearce Ltd,98%,06069627,MARTIN PEARCE LIMITED,https://find-and-update.company-information.service.gov.uk/company/06069627,Martin Pearce Ltd
Dunsire Associates (Electrical) Ltd,SC054659,DUNSIRE ASSOCIATES (ELECTRICAL) LIMITED,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/SC054659,,,,,,,,,,Maxis Trading Ltd,100%,06187697,MAXIS TRADING LTD,https://find-and-update.company-information.service.gov.uk/company/06187697,Maxis Trading Ltd
Dunsire Associates (Electrical) Ltd,SC709329,DUNSIRE & DAUGHTER LIMITED,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/SC709329,,,,,,,,,,Medina Quay Meats Ltd,98%,00742962,MEDINA QUAY MEATS LIMITED,https://find-and-update.company-information.service.gov.uk/company/00742962,Medina Quay Meats Ltd
Dunsire Associates (Electrical) Ltd,09642978,DUNSIRE LIMITED,40%,active,Low,https://find-and-update.company-information.service.gov.uk/company/09642978,,,,,,,,,,Moor Farm York Ltd,98%,10926316,MOOR FARM YORK LTD,https://find-and-update.company-information.service.gov.uk/company/10926316,Moor Farm York Ltd
Dunsire Associates (Electrical) Ltd,14939612,IONA DUNSIRE LIMITED,30%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/14939612,,,,,,,,,,PeoplesBus Ltd,98%,06522115,PEOPLESBUS LIMITED,https://find-and-update.company-information.service.gov.uk/company/06522115,PeoplesBus Ltd
Elite Turnkey Solutions Ltd,08186746,ELITE TURNKEY SOLUTIONS LIMITED,95%,active,High,https://find-and-update.company-information.service.gov.uk/company/08186746,,,,,,,,,,PH Ellis & Son,65%,00804782,EDWIN ELLIS & SON LIMITED,https://find-and-update.company-information.service.gov.uk/company/00804782,PH Ellis & Son
Elite Turnkey Solutions Ltd,14856962,ASSURED TURNKEY SOLUTIONS LIMITED,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/14856962,,,,,,,,,,Portland Fuel Ltd,98%,07020627,PORTLAND FUEL LIMITED,https://find-and-update.company-information.service.gov.uk/company/07020627,Portland Fuel Ltd
Elite Turnkey Solutions Ltd,04244417,A B TURNKEY SOLUTIONS FOR MANUFACTURING LIMITED,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/04244417,,,,,,,,,,Redline Aviation Security Ltd,45%,09802270,REDLINE ASSURED SECURITY LTD,https://find-and-update.company-information.service.gov.uk/company/09802270,Redline Aviation Security Ltd
Employment Partners Limited,09496680,EMPLOYMENT PARTNERS LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/09496680,,,,,,,,,,RHD Storage Solutions Ltd,98%,15048711,RHD STORAGE SOLUTIONS LTD,https://find-and-update.company-information.service.gov.uk/company/15048711,RHD Storage Solutions Ltd
Employment Partners Limited,07147647,EMPLOYMENT PARTNERS LIMITED,85%,dissolved,High,https://find-and-update.company-information.service.gov.uk/company/07147647,,,,,,,,,,Rocon Contractors Ltd,98%,00732319,ROCON CONTRACTORS LIMITED,https://find-and-update.company-information.service.gov.uk/company/00732319,Rocon Contractors Ltd
Employment Partners Limited,10218915,EMPLOYMENT PARTNS (SOUTH WEST) LIMITED,65%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/10218915,,,,,,,,,,SB Refrigeration and Electrical Engineers Ltd,100%,08382598,SB REFRIGERATION AND ELECTRICAL ENGINEERS LTD,https://find-and-update.company-information.service.gov.uk/company/08382598,SB Refrigeration and Electrical Engineers Ltd
Employment Partners Limited,13575542,EMPLOYMENT PARTNERS GROUP (HOLDINGS) LTD,60%,active,Medium,https://find-and-update.company-information.service.gov.uk/company/13575542,,,,,,,,,,Simply Aquatic Services Ltd,98%,15176541,SIMPLY AQUATIC SERVICES LTD,https://find-and-update.company-information.service.gov.uk/company/15176541,Simply Aquatic Services Ltd
Employment Partners Limited,12821118,EMPLOYMENT PARTNERS (NORTH WEST) LIMITED,30%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/12821118,,,,,,,,,,Southern Counties Glass Ltd,98%,03719401,SOUTHERN COUNTIES GLASS LIMITED,https://find-and-update.company-information.service.gov.uk/company/03719401,Southern Counties Glass Ltd
Employment Partners Limited,,,,,No match,,,,,,,,,,,Southern Mobility Services Ltd,99%,03362888,SOUTHERN MOBILITY SERVICES LTD,https://find-and-update.company-information.service.gov.uk/company/03362888,Southern Mobility Services Ltd
Euro Wines C&C Ltd,06149110,EURO WINES (C & C) LIMITED,95%,active,High,https://find-and-update.company-information.service.gov.uk/company/06149110,,,,,,,,,,Star Platforms Ltd,95%,08743442,STAR PLATFORMS LIMITED,https://find-and-update.company-information.service.gov.uk/company/08743442,Star Platforms Ltd
Eurocom Technical Services Ltd,03882954,EUROCOM TECHNICAL SERVICES LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/03882954,,,,,,,,,,Stephensons of Essex Limited,100%,01815977,STEPHENSONS OF ESSEX LIMITED,https://find-and-update.company-information.service.gov.uk/company/01815977,Stephensons of Essex Limited
Europa Truck Parts Limited,03878791,EUROPA TRUCK PARTS LIMITED,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/03878791,,,,,,,,,,Stock Bounty,95%,05209420,STOCKBOUNTY LTD,https://find-and-update.company-information.service.gov.uk/company/05209420,Stock Bounty
Europa Truck Parts Limited,06110088,EUROPARTS & TRUCKS (UK) LIMITED,35%,active,Low,https://find-and-update.company-information.service.gov.uk/company/06110088,,,,,,,,,,Strettons Spreading Services Ltd,100%,04600199,STRETTONS SPREADING SERVICES LTD,https://find-and-update.company-information.service.gov.uk/company/04600199,Strettons Spreading Services Ltd
Everest Cash & Carry Ltd,07300566,EVEREST CASH & CARRY LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/07300566,,,,,,,,,,The Courier Company Nationwide Limited,100%,09456795,THE COURIER COMPANY NATIONWIDE LIMITED,https://find-and-update.company-information.service.gov.uk/company/09456795,The Courier Company Nationwide Limited
Everest Cash & Carry Ltd,07405777,MOUNT EVEREST CASH & CARRY LIMITED,65%,dissolved,Medium,https://find-and-update.company-information.service.gov.uk/company/07405777,,,,,,,,,,United Wholesale Grocers Ltd,98%,SC080027,UNITED WHOLESALE GROCERS LIMITED,https://find-and-update.company-information.service.gov.uk/company/SC080027,United Wholesale Grocers Ltd
Everest Cash & Carry Ltd,08702907,EVEREST CASH AND CARRY PLYMOUTH LIMITED,45%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/08702907,,,,,,,,,,Watermen Foods Ltd,95%,05483993,WATERMEN FOODS LIMITED,https://find-and-update.company-information.service.gov.uk/company/05483993,Watermen Foods Ltd
Everest Cash & Carry Ltd,12321277,AAA T/AS TAMILAN CASH & CARRY LTD,25%,active,Low,https://find-and-update.company-information.service.gov.uk/company/12321277,,,,,,,,,,Westwood Crane Services Ltd,95%,13877218,WESTWOOD CRANE SERVICES LTD,https://find-and-update.company-information.service.gov.uk/company/13877218,Westwood Crane Services Ltd
Everest Cash & Carry Ltd,,,,,No match,,,,,,,,,,,Young's Beers Wines & Spirits Ltd,100%,07080926,YOUNG'S BEERS WINES & SPIRITS LTD,https://find-and-update.company-information.service.gov.uk/company/07080926,Young's Beers Wines & Spirits Ltd
Excell Electrical Contractors Ltd,02721897,EXCELL ELECTRICAL CONTRACTORS LIMITED,96%,active,High,https://find-and-update.company-information.service.gov.uk/company/02721897,,,,,,,,,,Your Marquee Ltd,98%,07137334,YOUR MARQUEE LTD,https://find-and-update.company-information.service.gov.uk/company/07137334,Your Marquee Ltd
Excell Electrical Contractors Ltd,04496005,EXCELL ELECTRICAL CONTRACTORS AND ENGINEERS LTD.,75%,dissolved,Medium,https://find-and-update.company-information.service.gov.uk/company/04496005,,,,,,,,,,,,,,,
Excell Electrical Contractors Ltd,14944257,ELECTRICAL EXCELLENCE NW LTD,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/14944257,,,,,,,,,,,,,,,
Excell Electrical Contractors Ltd,08975419,ELECTRICAL EXCELLENCE LIMITED,28%,active,Low,https://find-and-update.company-information.service.gov.uk/company/08975419,,,,,,,,,,,,,,,
Excell Electrical Contractors Ltd,,,,,No match,,,,,,,,,,,,,,,,
Expert Installations Ltd,07199197,EXPERT INSTALLATIONS LTD,100%,active,High,https://find-and-update.company-information.service.gov.uk/company/07199197,,,,,,,,,,,,,,,
Expert Installations Ltd,06903732,EXPERT TIMBER INSTALLATIONS LTD,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/06903732,,,,,,,,,,,,,,,
Expert Installations Ltd,07362795,STEMZ EXPERT INSTALLATIONS LIMITED,40%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07362795,,,,,,,,,,,,,,,
Expert Installations Ltd,,,,,No match,,,,,,,,,,,,,,,,
Expressmode Ltd,03606503,EXPRESSMODE LIMITED,94%,active,High,https://find-and-update.company-information.service.gov.uk/company/03606503,,,,,,,,,,,,,,,
Expressmode Ltd,,,,,No match,,,,,,,,,,,,,,,,
FACT Community Transport,CE000317,FACT Community Transport,98%,Unknown,High,https://find-and-update.company-information.service.gov.uk/company/CE000317,,,,,,,,,,,,,,,
FACT Community Transport,10092310,FACT COMMUNITY LTD,45%,active,Low,https://find-and-update.company-information.service.gov.uk/company/10092310,,,,,,,,,,,,,,,
Flight Links (Lincoln) Ltd,08606571,FLIGHT LINKS (LINCOLN) LTD,99%,active,High,https://find-and-update.company-information.service.gov.uk/company/08606571,,,,,,,,,,,,,,,
Flight Links (Lincoln) Ltd,,,,,No match,,,,,,,,,,,,,,,,
Friar's Pride Ltd,01213037,FRIAR'S PRIDE LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/01213037,,,,,,,,,,,,,,,
Friar's Pride Ltd,07050476,FRIAR'S PRIDE INVESTMENTS LIMITED,30%,active,Low,https://find-and-update.company-information.service.gov.uk/company/07050476,,,,,,,,,,,,,,,
Friar's Pride Ltd,15009477,FRIAR’S PRIDE HOLDINGS LIMITED,28%,active,Low,https://find-and-update.company-information.service.gov.uk/company/15009477,,,,,,,,,,,,,,,
Galaxy Insulation and Dry Lining Limited,06972541,GALAXY INSULATION AND DRY LINING LIMITED,98%,active,High,https://find-and-update.company-information.service.gov.uk/company/06972541,,,,,,,,,,,,,,,
Galaxy Insulation and Dry Lining Limited,06972535,GALAXY INSULATION AND DRY LINING (SOUTH YORKSHIRE) LIMITED,40%,dissolved,Low,https://find-and-update.company-information.service.gov.uk/company/06972535,,,,,,,,,,,,,,,
