"Searched Name","Company Number","Registered Name","Confidence","Status","Confidence Level","Companies House URL"
"H&M Distribution Ltd","11622191","H&M DISTRIBUTION (SOUTH) LIMITED","40%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/11622191"
"H&M Distribution Ltd","11622206","H&M DISTRIBUTION (WEST) LIMITED","40%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/11622206"
"Heron Foods Ltd","01392197","HERON FOODS LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01392197"
"Heron Foods Ltd","05382434","HERON QUALITY FOODS LTD","40%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/05382434"
"Home Hardware Scotland Ltd",,,,"","No match",""
"HPH Transport Holdings Ltd","10829247","HPH TRANSPORT HOLDINGS LIMITED","95%","active","High","https://find-and-update.company-information.service.gov.uk/company/10829247"
"HPH Transport Holdings Ltd","12691238","HORSEPOOL PROPERTY HOLDINGS (HPH) LTD","40%","active","Low","https://find-and-update.company-information.service.gov.uk/company/12691238"
"HPH Transport Holdings Ltd","12519118","BELSIZE HEALTHCARE HPH LIMITED","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/12519118"
"Ian Mosey Ltd",,,,"","No match",""
"J.W. Filshill Ltd","SC019246","J.W. FILSHILL LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/SC019246"
"J.W. Filshill Ltd","SC474265","J.W. FILSHILL INTERNATIONAL LIMITED","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/SC474265"
"JA Jackson Contractors (Preston) Limited","00905981","J.A.JACKSON CONTRACTORS(PRESTON)LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/00905981"
"Krispy Kreme U.K. Ltd","04532445","KRISPY KREME U.K. LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/04532445"
"Krispy Kreme U.K. Ltd","10432265","KRISPY KREME HOLDING UK LTD","75%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/10432265"
"Krispy Kreme U.K. Ltd","14227802","KRISPY KREME DOUGHNUTS & COFFEE (ELEPHANT PARK) LIMITED","65%","dissolved","Medium","https://find-and-update.company-information.service.gov.uk/company/14227802"
"Krispy Kreme U.K. Ltd","SC372116","KRISPY KREME DONUTS LTD","60%","dissolved","Medium","https://find-and-update.company-information.service.gov.uk/company/SC372116"
"Leeds Bradford Airport","02065958","LEEDS BRADFORD AIRPORT LIMITED","92%","active","High","https://find-and-update.company-information.service.gov.uk/company/02065958"
"Leeds Bradford Airport","05677895","LEEDS BRADFORD AIRPORT TAXIS LTD","45%","active","Low","https://find-and-update.company-information.service.gov.uk/company/05677895"
"Leeds Bradford Airport","08264216","LEEDS BRADFORD AIRPORT CAR PARKS LIMITED","35%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/08264216"
"Leeds Bradford Airport","08869376","LEEDS BRADFORD AIRPORT SERVICES LIMITED","35%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/08869376"
"Longcliffe Quarries Ltd","00273400","LONGCLIFFE QUARRIES LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/00273400"
"Longcliffe Quarries Ltd","04190202","LONGCLIFFE LIMITED","65%","active","Medium","https://find-and-update.company-information.service.gov.uk/company/04190202"
"Lower Lane Ltd",,,,"","No match",""
"McBurney Transport Group Ltd",,,,"","No match",""
"Mitchell Potatoes Ltd",,,,"","No match",""
"Montgomery Transport Ltd",,,,"","No match",""
"New Era Fuels Ltd","07378045","NEW ERA FUELS LIMITED","96%","active","High","https://find-and-update.company-information.service.gov.uk/company/07378045"
"New Era Fuels Ltd","07377955","NEW ERA OIL (HOLDINGS) LIMITED","45%","active","Low","https://find-and-update.company-information.service.gov.uk/company/07377955"
"New Era Fuels Ltd","08180921","NEW BRIGHTON FUELS LIMITED","25%","active","Low","https://find-and-update.company-information.service.gov.uk/company/08180921"
"Newport Transport Ltd",,,,"","No match",""
"Nirva Energy Ltd","13869934","NIRVA ENERGY LTD","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/13869934"
"Nirva Energy Ltd","16666721","NIRVA ENERGY IOW LTD","45%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16666721"
"Nirva Energy Ltd","16714701","ARTHA NIRVANA LTD","25%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16714701"
"Nirva Energy Ltd","SC489251","A.P&A NIRVANA PROPERTIES LTD","0%","dissolved","Low","https://find-and-update.company-information.service.gov.uk/company/SC489251"
"Nirva Energy Ltd","11477929","BAKING AND CATERING BY NIRVANA LTD","0%","active","Low","https://find-and-update.company-information.service.gov.uk/company/11477929"
"NMS Civil Engineering Ltd","01910241","NMS CIVIL ENGINEERING LIMITED","98%","active","High","https://find-and-update.company-information.service.gov.uk/company/01910241"
"Nolan Shared Services Ltd","16632672","NOLAN CONSULTANCY SERVICES LIMITED","40%","active","Low","https://find-and-update.company-information.service.gov.uk/company/16632672"
"Nolan Shared Services Ltd","SC544276","NOLAN ELECTRICAL ENGINEERING & DESIGN SERVICES LIMITED","35%","active","Low","https://find-and-update.company-information.service.gov.uk/company/SC544276"
"Nolan Shared Services Ltd","13090025","NOLAN-CARE SERVICES LIMITED","30%","active","Low","https://find-and-update.company-information.service.gov.uk/company/13090025"
"Nolan Shared Services Ltd","SC675103","NOLAN COURIER SERVICES LTD","28%","active","Low","https://find-and-update.company-information.service.gov.uk/company/SC675103"
"Nottingham City Transport Limited","02004967","NOTTINGHAM CITY TRANSPORT LIMITED","100%","active","High","https://find-and-update.company-information.service.gov.uk/company/02004967"
"NWF Fuels Ltd",,,,"","No match",""
